Party,Wingness,LGBT,BLM,Feminism,Paternal Age,Leftism,Age
Independent,Left-wing,1,1,1,43,1,22.0
Democratic,Left-wing,0,1,1,39,0,26.0
Independent,Left-wing,1,1,1,26,1,40.0
Independent,Centrist,0,0,0,27,0,71.0
Democratic,Left-wing,1,1,1,27,1,21.0
Independent,Centrist,0,0,0,22,0,30.0
Republican,Centrist,0,0,0,26,0,59.0
Democratic,Left-wing,1,1,1,25,1,37.0
Democratic,Left-wing,1,1,1,37,1,34.0
Democratic,Left-wing,1,1,1,32,1,44.0
Democratic,Left-wing,1,1,1,24,1,42.0
Democratic,Left-wing,1,1,1,31,1,35.0
Democratic,Left-wing,1,1,1,29,1,41.0
Independent,Centrist,1,1,1,28,1,24.0
Republican,Centrist,0,0,0,44,0,37.0
Democratic,Left-wing,1,1,1,38,1,31.0
Republican,Centrist,1,0,1,32,0,20.0
Democratic,Centrist,0,1,0,42,0,34.0
Democratic,Left-wing,1,1,1,25,1,45.0
Democratic,Left-wing,1,1,1,40,1,38.0
Independent,Centrist,1,1,1,36,1,24.0
Independent,Centrist,1,1,1,40,1,27.0
Republican,Right-wing,0,0,0,23,0,45.0
Democratic,Left-wing,1,1,1,30,1,45.0
Independent,Centrist,0,1,1,36,0,32.0
Independent,Right-wing,0,0,0,19,0,49.0
Independent,Left-wing,1,1,1,35,1,56.0
Republican,Right-wing,0,0,0,34,0,65.0
Democratic,Left-wing,1,1,1,28,1,28.0
Democratic,Left-wing,1,1,1,25,1,21.0
Republican,Centrist,1,1,1,27,1,40.0
Democratic,Left-wing,1,1,1,30,1,32.0
Republican,Left-wing,1,0,1,22,0,31.0
Democratic,Left-wing,1,0,0,35,0,26.0
Democratic,Left-wing,1,1,1,33,1,33.0
Republican,Right-wing,0,0,1,30,0,31.0
Independent,Right-wing,1,0,1,33,0,49.0
Democratic,Left-wing,1,1,1,31,1,31.0
Independent,Left-wing,1,1,1,31,1,24.0
Independent,Centrist,1,0,1,35,0,25.0
Independent,Centrist,1,1,1,25,1,32.0
Democratic,Left-wing,1,1,1,36,1,30.0
Republican,Centrist,1,1,1,27,1,57.0
Democratic,Left-wing,1,1,1,38,1,32.0
Independent,Centrist,0,0,1,29,0,62.0
